LOANID,ORIG_CHN,ORIG_RT,ORIG_AMT,ORIG_TRM,OLTV,NUM_BO,DTI,CSCORE_B,FTHB_FLG,PURPOSE,PROP_TYP,NUM_UNIT,OCC_STAT,STATE,VinYr,RELOCATION_FLG,LAST_UPB_LOANAMT_PERCENT1,LAST_UPB_ORIG_VAL_PERCENT,Zero.Bal.Code,MOD_FLAG,FCC_FLC
138231,C,6.75,240000,360,80,2,38,744,N,C,SF,1,P,MD,2006,N,100,80,1,N,Not Foreclosed
259697,R,7,50000,240,27,2,23,766,N,C,MH,1,P,AZ,2008,N,90.64878,24.4751706,1,N,Not Foreclosed
201485,R,5.875,331000,360,83,1,32,752,N,R,PU,1,P,VA,2007,N,92.98915106,77.18099538,1,N,Not Foreclosed
183011,C,7.125,105000,360,73,1,37,645,N,R,PU,1,I,AZ,2007,N,97.90865714,71.47331973,3,N,Foreclosed
78547,C,6.125,265000,360,66,2,29,776,N,R,SF,1,P,MI,2006,N,97.63441132,64.43871147,1,N,Not Foreclosed
131348,C,6.875,110000,360,37,1,31,683,N,P,SF,1,P,SC,2006,N,98.22491818,36.34321973,1,N,Not Foreclosed
64094,R,6.75,256000,360,62,2,45,769,N,C,SF,1,P,DE,2006,N,94.17769922,58.39017352,1,N,Not Foreclosed
76789,C,6,45000,120,73,1,34,695,N,R,SF,1,P,SC,2006,N,43.70948889,31.90792689,1,N,Not Foreclosed
56422,R,6.25,128000,360,43,2,40,810,N,R,SF,1,P,CA,2006,N,88.12321094,37.8929807,1,N,Not Foreclosed
19017,R,5.75,230000,360,43,2,22,754,N,C,SF,1,P,CA,2005,N,86.81330435,37.32972087,1,N,Not Foreclosed
41103,R,6,220000,360,73,2,56,735,N,R,SF,1,P,FL,2005,N,96.32042273,70.31390859,9,N,Foreclosed
27738,B,6,160000,360,80,2,34,762,N,P,SF,1,P,MI,2005,N,92.498425,73.99874,1,N,Not Foreclosed
258312,B,7,85000,360,72,1,41,704,N,C,SF,1,I,IN,2008,N,93.78071765,67.52211671,1,N,Not Foreclosed
159052,R,6.5,104000,360,80,1,29,663,N,C,SF,1,P,GA,2007,N,98.81392308,79.05113846,9,N,Foreclosed
100528,R,6,249000,180,70,2,29,753,N,C,SF,1,P,CA,2006,N,66.47508434,46.53255904,1,N,Not Foreclosed
172357,C,6.25,228000,360,90,2,42,645,Y,P,PU,1,P,GA,2007,N,94.6646886,85.19821975,1,N,Not Foreclosed
43314,C,5.5,272000,360,71,2,31,765,N,R,SF,1,P,CA,2005,N,89.22793015,63.3518304,1,N,Not Foreclosed
162005,R,7,110000,360,48,1,25,602,N,C,SF,1,P,MD,2007,N,98.81614545,47.43174981,6,Y,Not Foreclosed
